name,state
"Nnamdi Azikiwe International Airport", Abuja
"Akanu Ibiam International Airport", Enugu
"Mallam Aminu Kano International Airport", Kano
"Murtala Muhammed International Airport", Lagos
"Port Harcourt International Airport", Rivers
"Sir Abubakar Tafawa Balewa Airport", Bauchi
"Margaret Ekpo International Airport", Cross River
"Yakubu Gowon Airport", Platue
"Kaduna Airport", Kaduna
"Maiduguri International Airport", Borno
"Sadiq Abubakar III International Airport", Sokoto
"Yola Airport", Adamawa
"Asaba International Airport", Delta
"Arakanle Airport", Ondo
"Bauchi Airport", Bauchi
"Benin Airport", Edo
"Kebbi International Airport", Kebbi
"Gombe Lawanti International Airport", Gombe
"Alakia Airport", Oyo
"Ilorin Airport", Kwara
"Jalingo Airport", Taraba
"Katsina Airport", Katsina
"Makurdi Airport", Benue
"Minna Airport", Niger
"Sam Mbakwe Airport", Imo
"Warri Airport", Delta
"Zaria Airport", Kadunna
"Akwa Ibom Airport", Akwa Ibom